,pl_name,hostname,discoverymethod,pl_controv_flag,pl_orbper,pl_orbsmax,pl_radj,pl_bmassj,pl_orbeccen,pl_orbincl,pl_tranmid,ttv_flag,pl_rvamp,st_spectype,st_rad,st_mass,rastr,ra,decstr,dec,sy_dist,sy_plx,sy_gaiamag,Rhomax
0,11 Com b,11 Com,Radial Velocity,0,326.03,1.29,1.08,19.4,0.231,,,0,302.8,G8 III,19.0,2.7,12h20m42.91s,185.1787793,+17d47m35.71s,17.7932516,93.1846,10.7104,4.44038,352.6447368481916
1,11 UMi b,11 UMi,Radial Velocity,0,516.21997,1.53,1.09,14.74,0.08,,,0,189.7,K4 III,29.79,2.78,15h17m05.90s,229.2745954,+71d49m26.19s,71.8239428,125.321,7.95388,4.56216,349.3455137280575
2,14 And b,14 And,Radial Velocity,0,185.84,0.83,1.15,4.8,0.0,,,0,100.0,K0 III,11.0,2.2,23h31m17.80s,352.82415,+39d14m09.01s,39.2358367,75.4392,13.2289,4.91781,343.2677117384744
3,14 Her b,14 Her,Radial Velocity,0,1773.40002,2.93,1.15,4.66,0.37,,2456834.4,0,90.0,K0 V,0.93,0.9,16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621,17.9323,55.7363,6.383,11789.421339936798
4,16 Cyg B b,16 Cyg B,Radial Velocity,0,798.5,1.66,1.2,1.78,0.68,,2456937.32,0,50.5,G3 V,1.13,1.08,19h41m51.75s,295.4656422,+50d31m00.57s,50.5168243,21.1397,47.2754,6.06428,5202.606454760965
5,17 Sco b,17 Sco,Radial Velocity,0,578.38,1.45,1.15,4.32,0.06,,,0,92.4,K3 III,25.92,1.22,16h13m50.90s,243.4620874,-11d50m16.05s,-11.8377905,124.953,7.9805,4.75429,654.4974444893663
6,18 Del b,18 Del,Radial Velocity,0,993.3,2.6,1.11,10.3,0.08,,,0,119.4,G6 III,8.5,2.3,20h58m25.88s,314.6078375,+10d50m20.90s,10.8391378,76.222,13.0922,5.27476,1008.2628015114826
7,24 Boo b,24 Boo,Radial Velocity,0,30.3506,0.19,1.24,0.91,0.042,,,0,59.9,G3 IV,10.64,0.99,14h28m37.33s,217.1555242,+49d50m40.74s,49.8446488,95.9863,10.39,5.3339,137.26647833462684
8,24 Sex b,24 Sex,Radial Velocity,0,452.8,1.333,1.19,1.99,0.09,,,0,40.0,K0 IV,4.9,1.54,10h23m28.44s,155.8684866,-00d54m08.64s,-0.9023998,72.0691,13.8488,6.20374,825.2655537062851
9,24 Sex c,24 Sex,Radial Velocity,0,883.0,2.08,1.24,0.86,0.29,,,0,14.5,K0 IV,4.9,1.54,10h23m28.44s,155.8684866,-00d54m08.64s,-0.9023998,72.0691,13.8488,6.20374,1288.1405202654848
10,30 Ari B b,30 Ari B,Radial Velocity,0,335.10001,0.99,1.1,13.82,0.29,,,0,272.0,F6 V,1.41,1.93,02h36m57.91s,39.2412736,+24d38m52.84s,24.6480103,44.657,22.3641,6.96085,937.4344196336698
11,4 UMa b,4 UMa,Radial Velocity,0,269.3,0.87,1.13,7.1,0.432,,,0,215.55,K1 III,18.11,1.23,08h40m12.67s,130.0528099,+64d19m40.98s,64.3280504,73.4603,13.5901,4.23773,665.1513583037623
12,42 Dra b,42 Dra,Radial Velocity,0,479.1,1.19,1.16,3.88,0.38,,,0,110.5,K1.5 III,22.03,0.98,18h25m59.40s,276.4975053,+65d33m48.11s,65.5633652,90.6545,11.0061,4.43216,920.7952036836385
13,47 UMa b,47 UMa,Radial Velocity,0,1078.0,2.1,1.18,2.53,0.032,,2454415.6,0,48.4,G0 V,1.21,1.06,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,13.7967,72.4528,4.87837,9859.44332024608
14,47 UMa c,47 UMa,Radial Velocity,0,2391.0,3.6,1.27,0.54,0.098,,2455651.0,0,8.0,G1 V,1.21,1.06,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,13.7967,72.4528,4.87837,16768.450693266088
15,47 UMa d,47 UMa,Radial Velocity,0,14002.0,11.6,1.2,1.64,0.16,,2451820.0,0,13.8,G0V,1.21,1.06,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,13.7967,72.4528,4.87837,54479.51964280649
16,51 Peg b,51 Peg,Radial Velocity,0,4.230785,0.0527,1.27,0.46,0.013,80.0,2455705.001,0,55.94,G5V,1.18,1.03,22h57m28.21s,344.3675399,+20d46m08.74s,20.7690958,15.4614,64.6488,5.28647,223.13071486405426
17,55 Cnc b,55 Cnc,Radial Velocity,0,14.6516,0.1134,1.24,0.8306,0.0,89.73,2455803.293,0,71.37,K0 IV-V,0.94,0.91,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855,79.4274,5.72973,681.4661978015124
18,55 Cnc c,55 Cnc,Radial Velocity,0,44.3989,0.2373,0.76,0.1714,0.03,89.73,2455846.83,0,9.89,G8V,0.94,0.91,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855,79.4274,5.72973,1427.0387187720016
19,55 Cnc d,55 Cnc,Radial Velocity,0,5574.2,5.957,1.16,3.878,0.13,89.73,2455790.0,0,38.6,G8 V,0.94,0.91,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855,79.4274,5.72973,35780.19043278859
20,55 Cnc e,55 Cnc,Radial Velocity,0,0.7365474,0.01544,0.167,0.02514,0.05,83.59,2457063.2096,0,6.02,G8 V,0.94,0.91,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855,79.4274,5.72973,92.82281826644967
21,55 Cnc f,55 Cnc,Radial Velocity,0,259.88,0.7708,0.677,0.141,0.08,89.73,2456020.7,0,5.14,G8V,0.94,0.91,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855,79.4274,5.72973,4634.8553896349695
22,6 Lyn b,6 Lyn,Radial Velocity,0,934.3,2.11,1.19,2.01,0.073,,,0,32.8,K0 IV,5.2,1.44,06h30m47.05s,97.6960311,+58d09m40.23s,58.1611753,54.6599,18.2668,5.60686,1844.305056383774
23,61 Vir b,61 Vir,Radial Velocity,0,4.215,0.050201,0.188,0.016,0.12,,2455200.7,0,2.12,G5 V,0.96,0.94,13h18m23.15s,199.596455,-18d18m56.79s,-18.3157745,8.50332,117.573,4.54052,430.14047719559153
24,61 Vir c,61 Vir,Radial Velocity,0,38.021,0.2175,0.398,0.057,0.14,,2454922.48,0,3.62,G5 V,0.96,0.94,13h18m23.15s,199.596455,-18d18m56.79s,-18.3157745,8.50332,117.573,4.54052,1863.9214950320295
25,61 Vir d,61 Vir,Radial Velocity,0,123.01,0.476,0.456,0.072,0.35,,,0,3.25,G5 V,0.96,0.94,13h18m23.15s,199.596455,-18d18m56.79s,-18.3157745,8.50332,117.573,4.54052,4077.295666417018
26,7 CMa b,7 CMa,Radial Velocity,0,735.1,1.758,1.2,1.85,0.06,90.0,,0,34.3,K1 III,4.87,1.34,06h36m41.11s,99.171276,-19d15m22.25s,-19.2561808,19.8101,50.4571,3.67853,4550.161034289719
27,7 CMa c,7 CMa,Radial Velocity,0,996.0,2.153,1.24,0.87,0.08,90.0,,0,14.9,K1III(+M),4.87,1.34,06h36m41.11s,99.171276,-19d15m22.25s,-19.2561808,19.8101,50.4571,3.67853,5571.456073276111
28,70 Vir b,70 Vir,Radial Velocity,0,116.688,0.481,1.13,7.49,0.3988,,2455656.682,0,316.2,G5V,1.89,1.09,13h28m25.56s,202.1064898,+13d46m34.71s,13.7763085,17.9011,55.8347,4.76178,1694.100219713286
29,75 Cet b,75 Cet,Radial Velocity,0,691.9,2.1,1.17,3.0,0.117,,,0,38.3,G3 III,10.5,2.49,02h32m09.40s,38.0391598,-01d02m06.10s,-1.0350269,82.9613,12.0264,5.09343,690.4084934179333
30,8 UMi b,8 UMi,Radial Velocity,0,93.4,0.49,1.22,1.31,0.06,,,0,46.1,K0,10.3,1.44,14h56m48.40s,224.201685,+74d54m03.38s,74.9009379,162.552,6.12304,6.55896,133.58251752563476
31,81 Cet b,81 Cet,Radial Velocity,0,952.7,2.5,1.14,5.3,0.206,,,0,62.8,G5 III,11.0,2.4,02h37m41.85s,39.4243555,-03d23m46.90s,-3.3963607,101.26,9.84895,5.37588,717.4820569191608
32,91 Aqr b,91 Aqr,Radial Velocity,0,181.4,0.7,1.17,3.2,0.027,,,0,91.5,K0 III,11.0,1.4,23h15m53.88s,348.9745031,-09d05m16.11s,-9.0878076,44.0304,22.6884,3.95311,782.2385575092806
33,BD+03 2562 b,BD+03 2562,Radial Velocity,0,481.9,1.3,1.13,6.4,0.2,,,0,155.7,,32.35,1.14,11h50m15.53s,177.5647268,+02d45m36.39s,2.7601075,1070.63,0.903403,8.9977,70.76431820016235
34,BD+14 4559 b,BD+14 4559,Radial Velocity,0,268.94,0.78,1.23,1.04,0.29,,,0,55.2,K2 V,0.86,0.49,21h13m36.24s,318.4010002,+14d41m21.78s,14.6893834,49.352,20.2337,9.35108,1827.0642014370503
35,BD+15 2375 b,BD+15 2375,Radial Velocity,0,153.22,0.576,1.23,1.061,0.001,,,0,38.3,G5,8.95,1.08,11h45m55.69s,176.4820239,+14d36m58.75s,14.6163182,768.045,1.27327,9.9918,47.63872768656564
36,BD+15 2940 b,BD+15 2940,Radial Velocity,0,137.48,0.539,1.23,1.11,0.26,,,0,42.7,K0,14.7,1.1,16h00m22.95s,240.09564,+15d32m48.30s,15.5467507,426.42,2.31689,8.7178,78.85199365449535
