,pl_name,hostname,discoverymethod,pl_controv_flag,pl_orbper,pl_orbsmax,pl_radj,pl_bmassj,pl_orbeccen,pl_orbincl,pl_tranmid,ttv_flag,pl_rvamp,st_spectype,st_rad,st_mass,rastr,ra,decstr,dec,sy_dist,sy_plx,sy_gaiamag,Rhomax
0,11 Com b,11 Com,Radial Velocity,0,326.03,1.29,1.08,19.4,0.231,,,0,302.8,G8 III,19.0,2.7,12h20m42.91s,185.1787793,+17d47m35.71s,17.7932516,93.1846,10.7104,4.44038,95.01811955687509
1,11 UMi b,11 UMi,Radial Velocity,0,516.21997,1.53,1.09,14.74,0.08,,,0,189.7,K4 III,29.79,2.78,15h17m05.90s,229.2745954,+71d49m26.19s,71.8239428,125.321,7.95388,4.56216,71.51877630630675
3,14 Her b,14 Her,Radial Velocity,0,1773.40002,2.93,1.15,4.66,0.37,,2456834.4,0,90.0,K0 V,0.93,0.9,16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621,17.9323,55.7363,6.383,763.0375475176336
4,16 Cyg B b,16 Cyg B,Radial Velocity,0,798.5,1.66,1.2,1.78,0.68,,2456937.32,0,50.5,G3 V,1.13,1.08,19h41m51.75s,295.4656422,+50d31m00.57s,50.5168243,21.1397,47.2754,6.06428,128.61999257981225
5,17 Sco b,17 Sco,Radial Velocity,0,578.38,1.45,1.15,4.32,0.06,,,0,92.4,K3 III,25.92,1.22,16h13m50.90s,243.4620874,-11d50m16.05s,-11.8377905,124.953,7.9805,4.75429,39.26983532022048
6,18 Del b,18 Del,Radial Velocity,0,993.3,2.6,1.11,10.3,0.08,,,0,119.4,G6 III,8.5,2.3,20h58m25.88s,314.6078375,+10d50m20.90s,10.8391378,76.222,13.0922,5.27476,144.23759077038994
10,30 Ari B b,30 Ari B,Radial Velocity,0,335.10001,0.99,1.1,13.82,0.29,,,0,272.0,F6 V,1.41,1.93,02h36m57.91s,39.2412736,+24d38m52.84s,24.6480103,44.657,22.3641,6.96085,179.93529048401314
11,4 UMa b,4 UMa,Radial Velocity,0,269.3,0.87,1.13,7.1,0.432,,,0,215.55,K1 III,18.11,1.23,08h40m12.67s,130.0528099,+64d19m40.98s,64.3280504,73.4603,13.5901,4.23773,65.59131447940013
12,42 Dra b,42 Dra,Radial Velocity,0,479.1,1.19,1.16,3.88,0.38,,,0,110.5,K1.5 III,22.03,0.98,18h25m59.40s,276.4975053,+65d33m48.11s,65.5633652,90.6545,11.0061,4.43216,49.6206111498775
13,47 UMa b,47 UMa,Radial Velocity,0,1078.0,2.1,1.18,2.53,0.032,,2454415.6,0,48.4,G0 V,1.21,1.06,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,13.7967,72.4528,4.87837,346.4498101032484
14,47 UMa c,47 UMa,Radial Velocity,0,2391.0,3.6,1.27,0.54,0.098,,2455651.0,0,8.0,G1 V,1.21,1.06,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,13.7967,72.4528,4.87837,125.76337468050167
15,47 UMa d,47 UMa,Radial Velocity,0,14002.0,11.6,1.2,1.64,0.16,,2451820.0,0,13.8,G0V,1.21,1.06,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,13.7967,72.4528,4.87837,1240.922391693385
19,55 Cnc d,55 Cnc,Radial Velocity,0,5574.2,5.957,1.16,3.878,0.13,89.73,2455790.0,0,38.6,G8 V,0.94,0.91,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855,79.4274,5.72973,1927.1600160444323
22,6 Lyn b,6 Lyn,Radial Velocity,0,934.3,2.11,1.19,2.01,0.073,,,0,32.8,K0 IV,5.2,1.44,06h30m47.05s,97.6960311,+58d09m40.23s,58.1611753,54.6599,18.2668,5.60686,51.486829734351105
26,7 CMa b,7 CMa,Radial Velocity,0,735.1,1.758,1.2,1.85,0.06,90.0,,0,34.3,K1 III,4.87,1.34,06h36m41.11s,99.171276,-19d15m22.25s,-19.2561808,19.8101,50.4571,3.67853,116.91385933526867
27,7 CMa c,7 CMa,Radial Velocity,0,996.0,2.153,1.24,0.87,0.08,90.0,,0,14.9,K1III(+M),4.87,1.34,06h36m41.11s,99.171276,-19d15m22.25s,-19.2561808,19.8101,50.4571,3.67853,67.32174378769814
28,70 Vir b,70 Vir,Radial Velocity,0,116.688,0.481,1.13,7.49,0.3988,,2455656.682,0,316.2,G5V,1.89,1.09,13h28m25.56s,202.1064898,+13d46m34.71s,13.7763085,17.9011,55.8347,4.76178,176.23345154696523
31,81 Cet b,81 Cet,Radial Velocity,0,952.7,2.5,1.14,5.3,0.206,,,0,62.8,G5 III,11.0,2.4,02h37m41.85s,39.4243555,-03d23m46.90s,-3.3963607,101.26,9.84895,5.37588,52.81465104081759
32,91 Aqr b,91 Aqr,Radial Velocity,0,181.4,0.7,1.17,3.2,0.027,,,0,91.5,K0 III,11.0,1.4,23h15m53.88s,348.9745031,-09d05m16.11s,-9.0878076,44.0304,22.6884,3.95311,34.76615613456214
45,BD+63 1405 b,BD+63 1405,Radial Velocity,0,1198.48,2.06,1.16,3.96,0.88,5.974,,0,186.01,K0,0.8,0.82,18h05m35.50s,271.3979337,+63d40m12.02s,63.6700064,38.0473,26.2541,8.705,250.42001050319655
46,BD-00 4475 b,BD-00 4475,Radial Velocity,0,723.2,1.48,1.07,25.05,0.39,13.31,,0,711.21,G0,0.84,0.81,23h10m50.60s,347.7108441,+00d24m30.82s,0.4085612,42.6402,23.4239,8.78101,1017.6315772324216
52,BD-11 4672 b,BD-11 4672,Radial Velocity,0,1634.0,2.36,1.25,0.65,0.05,,,0,14.88,K7 V,0.64,0.65,18h33m28.53s,278.3688659,-11d38m13.37s,-11.6370481,27.1665,36.7812,9.48511,82.64029484106686
55,BD-17 63 b,BD-17 63,Radial Velocity,0,655.6,1.34,1.15,5.1,0.54,,,0,173.3,K5 V,0.69,0.74,00h28m33.92s,7.1413494,-16d13m38.37s,-16.2273254,34.4603,28.9903,9.20112,255.0403821306221
58,CoRoT-20 c,CoRoT-20,Radial Velocity,0,1675.0,2.9,1.09,17.0,0.6,,,0,326.0,G2 V,1.37,1.14,06h30m52.90s,97.7204249,+00d13m36.82s,0.2268931,844.061,1.15699,14.4686,48.62969456181507
73,GJ 1148 c,GJ 1148,Radial Velocity,0,532.58,0.912,0.866,0.21414,0.342,,2454769.0,0,11.34,M5,0.36,0.34,11h41m43.83s,175.4326081,+42d45m05.71s,42.7515862,11.0143,90.7623,10.5769,48.988923539971786
77,GJ 15 A c,GJ 15 A,Radial Velocity,0,7600.0,5.4,0.595,0.11327,0.27,,,0,2.5,M1,0.38,0.38,00h18m27.04s,4.6126677,+44d01m29.03s,44.0247296,3.56228,280.69,7.2162,437.68334715568267
82,GJ 179 b,GJ 179,Radial Velocity,0,2288.0,2.41,1.24,0.82,0.21,,2454876.0,0,25.8,M3.5 V,0.38,0.36,04h52m05.89s,73.0245495,+06d28m30.84s,6.4752347,12.356,80.9036,10.7055,425.394089846119
93,GJ 3021 b,GJ 3021,Radial Velocity,0,133.71,0.49,1.17,3.37,0.511,,,0,167.0,G6 V,0.9,0.9,00h16m15.22s,4.0634323,-79d51m05.12s,-79.8514218,17.5559,56.9319,6.39729,100.59445413740238
98,GJ 317 b,GJ 317,Radial Velocity,0,695.66,1.151,1.18,2.5,0.07,45.0,2455306.1,0,71.81,M2.5 V,0.43,0.42,08h40m58.69s,130.2445254,-23d27m10.11s,-23.452809,15.1968,65.7744,10.7539,430.2354678098842
99,GJ 317 c,GJ 317,Radial Velocity,0,6739.323,5.23,1.2,1.64396,0.17,,2456384.0,0,31.97,M2.5 V,0.43,0.42,08h40m58.69s,130.2445254,-23d27m10.11s,-23.452809,15.1968,65.7744,10.7539,1285.691404878798
100,GJ 328 b,GJ 328,Radial Velocity,0,4100.0,4.5,1.19,2.3,0.37,,,0,40.0,M1,0.65,0.69,08h55m07.67s,133.7819507,+01d32m31.20s,1.5420011,20.5266,48.6883,9.2861,686.7315925491922
111,GJ 3512 b,GJ 3512,Radial Velocity,0,203.59,0.338,1.27,0.463,0.4356,,,0,71.84,M5.5 V,0.14,0.12,08h41m19.60s,130.3316616,+59d29m30.61s,59.4918364,9.48637,105.386,13.1117,129.70325905955602
126,GJ 433 c,GJ 433,Radial Velocity,0,5094.105,4.819,0.56,0.10201,0.12,,,0,1.75,M1.5 V,0.47,0.48,11h35m26.86s,173.8619194,-32d32m37.07s,-32.5436302,9.06456,110.291,8.89138,101.53137798577734
136,GJ 649 b,GJ 649,Radial Velocity,0,598.3,1.135,1.11,0.328,0.3,,2454832.0,0,12.4,M1.5,0.5,0.54,16h58m08.72s,254.5363221,+25d44m31.10s,25.7419719,10.3796,96.3141,8.81875,63.21156817289331
143,GJ 676 A b,GJ 676 A,Radial Velocity,0,1056.80005,1.82,1.13,6.7,0.33,45.0,,0,129.3,M0 V,0.69,0.73,17h30m10.77s,262.5448903,-51d38m16.00s,-51.6377777,16.0272,62.365,8.86517,999.425053369439
144,GJ 676 A c,GJ 676 A,Radial Velocity,0,7337.0,6.6,1.13,6.8,,,,0,88.7,M0,0.65,0.63,17h30m10.77s,262.5448903,-51d38m16.00s,-51.6377777,16.0272,62.365,8.86517,4072.4561351687703
151,GJ 687 c,GJ 687,Radial Velocity,0,727.562,1.165,0.369,0.05034,0.4,,,0,2.44,M3.0V,0.42,0.4,17h36m25.00s,264.1041731,+68d20m01.23s,68.3336741,4.54939,219.781,8.02754,30.802543094185832
154,GJ 832 b,GJ 832,Radial Velocity,0,3657.0,3.56,1.25,0.68,0.08,,,0,15.4,M1.5,0.44,0.45,21h33m33.90s,323.3912616,-49d00m45.06s,-49.0125169,4.96435,201.407,7.73761,1034.3669753398278
156,GJ 849 b,GJ 849,Radial Velocity,0,1915.0,2.409,1.24,0.9,0.038,,2453873.0,0,24.4,M3.5,0.47,0.49,22h09m41.52s,332.4229938,-04d38m26.99s,-4.6408317,8.80058,113.6,9.2245,474.0231110305259
157,GJ 849 c,GJ 849,Radial Velocity,0,7068.0,4.974,1.25,0.702,0.099,,2458970.0,0,19.64,M3.5,0.47,0.49,22h09m41.52s,332.4229938,-04d38m26.99s,-4.6408317,8.80058,113.6,9.2245,883.0378361933143
158,GJ 86 b,GJ 86,Radial Velocity,0,15.76491,0.11,1.15,4.42,0.04,,,0,376.7,K1V,0.77,0.93,02h10m29.39s,32.6224785,-50d49m15.58s,-50.8209945,10.7836,92.7042,5.88516,50.530161936476276
159,GJ 876 b,GJ 876,Radial Velocity,0,61.1166,0.208317,1.19,2.2756,0.0324,59.0,2453055.984,0,214.0,M4 V,0.3,0.32,22h53m17.75s,343.3239737,-14d15m59.74s,-14.2665958,4.67517,213.867,8.8753,301.5721072566264
160,GJ 876 c,GJ 876,Radial Velocity,0,30.0881,0.12959,1.25,0.7142,0.25591,59.0,2453029.298,0,88.34,M4 V,0.3,0.32,22h53m17.75s,343.3239737,-14d15m59.74s,-14.2665958,4.67517,213.867,8.8753,59.01177130185777
165,GJ 9066 b,GJ 9066,Radial Velocity,0,241.883,0.403,0.544,0.09722,0.18,,,0,11.53,M4.5 V,0.18,0.15,02h00m14.12s,30.0588307,+13d02m39.54s,13.0443172,4.471,223.635,10.6711,55.86161457777288
166,GJ 9066 c,GJ 9066,Radial Velocity,0,767.887,0.87,0.892,0.22528,0.33,,,0,18.97,M4.5 V,0.18,0.15,02h00m14.12s,30.0588307,+13d02m39.54s,13.0443172,4.471,223.635,10.6711,279.60295939519125
172,HAT-P-11 c,HAT-P-11,Radial Velocity,0,3407.0,4.13,1.19,2.3,0.601,135.7,,0,30.9,K4,0.68,0.81,19h50m50.44s,297.7101763,+48d04m54.71s,48.0818635,37.7647,26.4508,9.15098,296.47374545623586
173,HAT-P-13 c,HAT-P-13,Radial Velocity,0,446.27,1.258,1.1,14.28,0.6616,,,0,440.0,G4,1.76,1.32,08h39m31.77s,129.8823772,+47d21m06.87s,47.3519076,246.81,4.02313,10.4168,52.456721949658785
174,HAT-P-17 c,HAT-P-17,Radial Velocity,0,5584.0,5.6,1.17,3.4,0.39,,,0,48.8,K,0.84,0.92,21h38m08.63s,324.5359781,+30d29m17.48s,30.4881882,92.3831,10.796,10.2743,228.77640374133114
176,HATS-59 c,HATS-59,Radial Velocity,0,1422.0,2.504,1.1,12.7,0.083,,,0,224.0,,1.04,1.04,11h21m17.84s,170.324325,-22d23m17.44s,-22.388177,642.884,1.527,13.7854,45.46408070307006
200,HD 104985 b,HD 104985,Radial Velocity,0,199.505,0.95,1.12,8.3,0.09,,,0,166.8,G9 III,11.0,2.3,12h05m15.79s,181.3157854,+76d54m19.21s,76.9053359,100.576,9.9146,5.49698,30.210242120095057
201,HD 106252 b,HD 106252,Radial Velocity,0,1531.0,2.61,1.13,6.93,0.48,,,0,138.8,G0,1.1,1.01,12h13m29.53s,183.3730583,+10d02m25.55s,10.0404302,38.185,26.1595,7.26281,447.40016389598753
202,HD 106270 b,HD 106270,Radial Velocity,0,1888.0,3.34,1.11,10.13,0.185,,,0,135.4,G5 IV,2.66,1.39,12h13m37.18s,183.4049258,-09d30m48.83s,-9.5135645,93.808,10.6318,7.39531,247.42721300794864
203,HD 10647 b,HD 10647,Radial Velocity,0,989.2,2.015,1.23,0.94,0.15,,,0,18.1,F9 V,1.1,1.11,01h42m29.60s,25.6233526,-53d44m28.63s,-53.7412852,17.3357,57.6556,5.38178,93.80952995411266
204,HD 106515 A b,HD 106515 A,Radial Velocity,0,3630.0,4.59,1.11,9.61,0.572,,,0,158.2,G5,1.62,0.97,12h15m06.30s,183.7762699,-07d15m27.15s,-7.2575413,34.0915,29.3041,7.7777,1269.3660376246958
205,HD 10697 b,HD 10697,Radial Velocity,0,1075.69,2.14,1.13,6.383,0.1043,,2452506.8,0,116.9,G5 IV,1.79,1.13,01h44m55.78s,26.2324076,+20d04m57.71s,20.0826974,33.1205,30.1639,6.10286,348.40705494063474
209,HD 108341 b,HD 108341,Radial Velocity,0,1129.0,2.0,1.17,3.5,0.85,,,0,144.0,K2 V,0.79,0.84,12h27m31.00s,186.8791724,-71d25m20.96s,-71.4224896,48.9102,20.4167,9.14337,162.81642916361108
212,HD 108874 c,HD 108874,Radial Velocity,0,1624.0,2.659,1.23,0.99,0.239,,2454785.0,0,18.2,G5,1.09,0.95,12h30m27.02s,187.6126029,+22d52m45.98s,22.8794399,59.5175,16.773,8.57502,44.42751089792785
216,HD 109286 b,HD 109286,Radial Velocity,0,520.1,1.259,1.17,2.99,0.338,,,0,81.6,G4 V,1.09,0.98,12h33m35.00s,188.3958418,+07d16m51.26s,7.2809064,55.4156,18.0167,8.61599,66.07434121269364
219,HD 110014 b,HD 110014,Radial Velocity,0,835.477,2.14,1.11,11.09,0.462,,,0,158.2,K2 III,20.9,2.17,12h39m14.69s,189.8111935,-07d59m44.41s,-7.9956702,100.758,9.90259,4.31048,108.82325236141801
