

pl_name,hostname,discoverymethod,pl_controv_flag,pl_orbper,pl_orbsmax,pl_radj,pl_bmassj,pl_orbeccen,pl_orbincl,pl_tranmid,ttv_flag,pl_rvamp,st_spectype,st_rad,st_mass,rastr,ra,decstr,dec,sy_dist,sy_plx,sy_gaiamag
11 Com b,11 Com,Radial Velocity,0,326.03000000,1.290000,1.080,19.40000,0.231000,,,0,302.800,G8 III,19.00,2.70,12h20m42.91s,185.1787793,+17d47m35.71s,17.7932516,93.1846000,10.7104000,4.4403800
11 UMi b,11 UMi,Radial Velocity,0,516.21997000,1.530000,1.090,14.74000,0.080000,,,0,189.700,K4 III,29.79,2.78,15h17m05.90s,229.2745954,+71d49m26.19s,71.8239428,125.3210000,7.9538800,4.5621600
14 And b,14 And,Radial Velocity,0,185.84000000,0.830000,1.150,4.80000,0.000000,,,0,100.000,K0 III,11.00,2.20,23h31m17.80s,352.8241500,+39d14m09.01s,39.2358367,75.4392000,13.2289000,4.9178100
14 Her b,14 Her,Radial Velocity,0,1773.40002000,2.930000,1.150,4.66000,0.370000,,2456834.400000,0,90.000,K0 V,0.93,0.90,16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621,17.9323000,55.7363000,6.3830000
16 Cyg B b,16 Cyg B,Radial Velocity,0,798.50000000,1.660000,1.200,1.78000,0.680000,,2456937.320000,0,50.500,G3 V,1.13,1.08,19h41m51.75s,295.4656422,+50d31m00.57s,50.5168243,21.1397000,47.2754000,6.0642800
17 Sco b,17 Sco,Radial Velocity,0,578.38000000,1.450000,1.150,4.32000,0.060000,,,0,92.400,K3 III,25.92,1.22,16h13m50.90s,243.4620874,-11d50m16.05s,-11.8377905,124.9530000,7.9805000,4.7542900
18 Del b,18 Del,Radial Velocity,0,993.30000000,2.600000,1.110,10.30000,0.080000,,,0,119.400,G6 III,8.50,2.30,20h58m25.88s,314.6078375,+10d50m20.90s,10.8391378,76.2220000,13.0922000,5.2747600
24 Boo b,24 Boo,Radial Velocity,0,30.35060000,0.190000,1.240,0.91000,0.042000,,,0,59.900,G3 IV,10.64,0.99,14h28m37.33s,217.1555242,+49d50m40.74s,49.8446488,95.9863000,10.3900000,5.3339000
24 Sex b,24 Sex,Radial Velocity,0,452.80000000,1.333000,1.190,1.99000,0.090000,,,0,40.000,K0 IV,4.90,1.54,10h23m28.44s,155.8684866,-00d54m08.64s,-0.9023998,72.0691000,13.8488000,6.2037400
24 Sex c,24 Sex,Radial Velocity,0,883.00000000,2.080000,1.240,0.86000,0.290000,,,0,14.500,K0 IV,4.90,1.54,10h23m28.44s,155.8684866,-00d54m08.64s,-0.9023998,72.0691000,13.8488000,6.2037400
